{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:15 -0400', 'method': 'GET', 'url': '/', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '3383', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:15 -0400', 'method': 'GET', 'url': '/icons/openlogo-75.png', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '6040', 'referer': 'http://127.0.0.1/', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:26 -0400', 'method': 'GET', 'url': '/dvwa', 'protocol': 'HTTP/1.1', 'status': '301', 'size': '564', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:26 -0400', 'method': 'GET', 'url': '/dvwa/', 'protocol': 'HTTP/1.1', 'status': '302', 'size': '665', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:26 -0400', 'method': 'GET', 'url': '/dvwa/login.php', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '955', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:27 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/css/login.css', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '742', 'referer': 'http://127.0.0.1/dvwa/login.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:27 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/images/login_logo.png', 'protocol': 'HTTP/1.1', 'status': '304', 'size': '249', 'referer': 'http://127.0.0.1/dvwa/login.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:34 -0400', 'method': 'POST', 'url': '/dvwa/login.php', 'protocol': 'HTTP/1.1', 'status': '302', 'size': '476', 'referer': 'http://127.0.0.1/dvwa/login.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:34 -0400', 'method': 'GET', 'url': '/dvwa/login.php', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '973', 'referer': 'http://127.0.0.1/dvwa/login.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'POST', 'url': '/dvwa/login.php', 'protocol': 'HTTP/1.1', 'status': '302', 'size': '476', 'referer': 'http://127.0.0.1/dvwa/login.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/index.php', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '2818', 'referer': 'http://127.0.0.1/dvwa/login.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/css/main.css', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '1672', 'referer': 'http://127.0.0.1/dvwa/index.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
